step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,4,LearningProgress,4,0.022655105628723193,0.20196240304402435,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,4,LearningProgress,4,0.022655105628723193,0.21673736891421513,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
2,4,LearningProgress,3,-0.24702683124545488,-0.0519305338291415,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,True,blocked_noisy
3,4,LearningProgress,4,0.7432705483753128,0.536123563461796,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
4,4,LearningProgress,2,0.8044301594319767,0.9332093324689879,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,False,learning
5,4,LearningProgress,2,0.5778934350886589,-0.741206498406365,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,False,learning
6,4,LearningProgress,4,0.9378657386324698,0.6727930113323922,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
7,4,LearningProgress,4,0.21770323368909517,0.30092738087156273,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,4,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
8,4,LearningProgress,3,0.33131483393150685,1.062408091378854,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,True,blocked_noisy
9,4,LearningProgress,0,-0.004264802429251091,0.48070679119738835,1.0,1.1988307478962081,-0.19883074789620814,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
10,4,LearningProgress,2,0.8782141068480176,0.8969501909719307,0.7068724465432946,0.5606570138207971,0.14621543272249748,1,1.1988307478962081,0.00550741795450449,0.1,0.0,learning,0,0.11746978018535664,0.0069738165475428104,0.1,0.0,unexplored,2,0.7068724465432946,0.0008723060018382967,0.1,0.0,learning,2,1.1869155511579654,0.0035230014473199844,0.1,0.0,learning,5,0.05554148193401432,0.014647446572780609,0.1,5.457490411632561e-05,learning,False,False,learning
11,4,LearningProgress,2,0.3851040894211213,-0.558357594643501,0.5606570138207971,0.541157941737992,0.019499072082805102,1,1.2737997558737735,0.0009451795485801995,-0.07496900797756534,0.0,learning,0,0.18343004243145877,0.0020723489578813314,-0.06596026224610213,0.0,unexplored,3,0.5606570138207971,0.001572956913150847,0.14621543272249748,0.0,learning,2,1.1403481863295308,0.0036660030018538237,0.0465673648284346,0.0,learning,5,0.08235580769726787,0.0036555922124534845,-0.02681432576325355,5.457490411632561e-05,learning,False,False,learning
12,4,LearningProgress,2,0.7684461032635626,0.7937175058265545,0.541157941737992,0.5382672309790162,0.002890710758975845,1,1.4166644515454205,0.001613145344890654,-0.2178337036492124,0.0,learning,0,0.31488861804694396,0.003725111484527588,-0.19741883786158732,0.0,unexplored,4,0.541157941737992,0.0019245122093707323,0.1657145048053026,0.0,learning,2,1.0089249399950253,0.008898591622710228,0.17799061116294013,0.0,learning,5,0.21262437745517912,0.004564249888062477,-0.1570828955211648,5.457490411632561e-05,learning,False,False,learning
13,4,LearningProgress,3,-0.24775237364186453,2.1339764808878794,0.8893969464526026,1.3199248283796712,-0.4305278819270686,1,1.3826453374090237,0.00283553684130311,-0.1838145895128156,0.0,learning,0,0.30095148759615853,0.004507422912865877,-0.1834817074108019,0.0,unexplored,5,0.5382672309790162,0.0013871820410713553,0.16860521556427843,0.0,learning,2,0.8893969464526026,0.007128589320927858,0.29751860470536284,0.0,learning,5,0.16753739072229315,0.002768870210275054,-0.11199590878827884,5.457490411632561e-05,learning,False,True,blocked_noisy
14,4,LearningProgress,2,-0.3852841605419288,0.42899896743483645,0.5384643903700589,0.6097269779185364,-0.07126258754847747,1,1.2447455508264813,0.0076228659600019455,-0.04591480293027317,0.0,learning,0,0.17210101710679804,0.005191704723984003,-0.054631236921441395,0.0,unexplored,5,0.5384643903700589,0.003138141008093953,0.16840805617323573,0.0,learning,3,1.3199248283796712,0.008113157004117966,-0.13300927722170575,0.0,learning,5,0.07394544305727976,0.0024764675181359053,-0.018403961123265443,5.457490411632561e-05,learning,False,False,learning
15,4,LearningProgress,1,-0.8425596989786903,1.127448445847612,0.124290851737313,0.10422366684276081,0.020067184894552184,1,1.340471774027894,0.019595883786678314,-0.0666720181541205,0.0,learning,0,0.124290851737313,0.006047237664461136,0.05913919069414578,0.0,unexplored,6,0.6097269779185364,0.003883215133100748,-0.04906996409773923,0.0,learning,3,2.0819121775317324,0.02117607183754444,-0.9415639912022016,0.0,learning,5,0.2136097535538123,0.007645045407116413,-0.13125394585654443,5.457490411632561e-05,learning,True,False,mastered
16,4,LearningProgress,4,0.40929572888003096,0.439140575133047,0.07246616786445208,0.03992278985032114,0.03254337801413094,1,1.3307695266049058,0.0344296395778656,0.08589492494051476,0.0,learning,1,0.10422366684276081,0.008384466171264648,0.21066495120418316,0.0,learning,6,0.5849648012441878,0.0029856080655008554,-0.04380685950619578,0.0,learning,3,1.817818240343786,0.011517551727592945,-0.8088933003487606,0.0,learning,5,0.07246616786445208,0.0013775356346741319,0.14015820959072706,5.457490411632561e-05,learning,True,False,mastered
17,4,LearningProgress,4,0.2342295141824442,0.3508388201123673,0.03992278985032114,0.04568822842226809,-0.005765438571946953,1,1.3380420793722945,0.025428857654333115,0.044603258036729265,0.0,learning,1,0.1246312189041468,0.007830110378563404,0.17632026869201173,0.0,learning,6,0.5627016693602195,0.003618179587647319,-0.024434438381203294,0.0,learning,3,1.5034347396026029,0.005173477344214916,-0.6140377931500003,0.0,learning,6,0.03992278985032114,0.0010438456665724516,0.12761460087197202,5.457490411632561e-05,learning,True,False,mastered
18,4,LearningProgress,1,-0.02528648741392381,0.2440681752513016,0.09102552489919796,0.06903189591542505,0.02199362898377291,1,1.3638348485263885,0.015343153849244118,-0.11908929769990717,0.0,learning,1,0.09102552489919796,0.005154696758836508,0.08107549220760008,0.0,learning,6,0.5737736154112547,0.0021103834733366966,-0.035309225041195824,0.0,learning,3,1.3027387352098103,0.005526314955204725,0.01718609316986086,0.0,learning,7,0.04568822842226809,0.0005276091978885233,0.02825721463501167,5.457490411632561e-05,learning,True,False,mastered
19,4,LearningProgress,3,-0.354765565045535,-1.3630488247347026,1.1855365042590822,1.4585819516914185,-0.2730454474323363,1,1.3929488563651413,0.008615944534540176,-0.05247708233724735,0.0,learning,2,0.06903189591542505,0.00530021358281374,0.055258955821887945,0.0,learning,6,0.5835183214397719,0.0034171694424003363,0.02620865647876447,0.0,learning,3,1.1855365042590822,0.009714857675135136,0.8963756732726502,0.0,learning,7,0.045923238596113775,0.0005091025959700346,0.1676865149576985,5.457490411632561e-05,learning,False,True,blocked_noisy
20,4,LearningProgress,3,-0.1693639139474341,0.20273718035657362,1.4585819516914185,1.320193911093353,0.13838804059806553,1,1.442757998720403,0.007318481337279081,-0.11198847211549712,0.0,learning,2,0.11138757785980592,0.01869204454123974,-0.00716391101704511,0.0,learning,6,0.6682114142308143,0.012189147062599659,-0.0832466129866265,0.0,learning,4,1.4585819516914185,0.021947646513581276,0.35923628865236745,0.0,learning,7,0.027842147546147777,0.002294591162353754,0.0446240203183043,5.457490411632561e-05,learning,False,True,blocked_noisy
21,4,LearningProgress,3,0.7969095004004545,1.6445205857633618,1.320193911093353,1.417454927081976,-0.09726101598862313,1,1.3525082836297628,0.007542765233665705,-0.014466204257468362,0.0,learning,2,0.15240023303674108,0.0036269379779696465,-0.027769014132594277,0.0,learning,6,0.6865380831028425,0.00553513178601861,-0.123836413742623,0.0,learning,5,1.320193911093353,0.004991857334971428,0.18324082850924994,0.0,learning,7,0.029167309440972792,0.0026877541095018387,0.010755480409348348,5.457490411632561e-05,learning,False,True,blocked_noisy
22,4,LearningProgress,0,0.25958183111786526,1.013612250845938,1.2293221322780856,1.1757207669784173,0.0536013652996683,1,1.2293221322780856,0.013422996737062931,0.13451271624830285,0.0,learning,2,0.09357128636931558,0.009242868050932884,-0.002545761470117619,0.0,learning,6,0.6774579512479372,0.005643585696816444,-0.10368433583668246,0.0,learning,6,1.417454927081976,0.002745959209278226,-0.11471619187216575,0.0,learning,7,0.04402713511634635,0.005578029900789261,0.0016610933059217417,5.457490411632561e-05,learning,True,False,mastered
23,4,LearningProgress,0,0.5415261899743278,1.638459553862349,1.1757207669784173,1.1250422988942947,0.050678468084122574,2,1.1757207669784173,0.007570682093501091,0.217228089386724,0.0,learning,2,0.06720071008869297,0.00805719941854477,0.0018311858267320846,0.0,learning,6,0.6432964680180981,0.004713923204690218,-0.05977814657832625,0.0,learning,6,1.3786238748063926,0.002719944342970848,-0.1930873705473104,0.0,learning,7,0.06612670852616737,0.00639214925467968,-0.02020346993005359,5.457490411632561e-05,learning,True,False,mastered
