step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,9,MasteryGated,4,-0.42636558182488926,0.398803344489168,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,9,MasteryGated,3,0.5550681658403576,-0.8443098851723372,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
2,9,MasteryGated,3,0.7207872983657693,0.9504375806636884,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
3,9,MasteryGated,4,-0.42636558182488926,0.41600885373994223,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,9,MasteryGated,2,-0.03011134604542387,-0.27980832017491264,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,False,False,learning
5,9,MasteryGated,0,-0.9887478986412142,-1.4725802621677282,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
6,9,MasteryGated,4,0.5692197053453592,0.5627900857778813,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
7,9,MasteryGated,1,0.41066740917890754,0.2386651086122571,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
8,9,MasteryGated,1,-0.44050556050342604,0.5848902504779062,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
9,9,MasteryGated,3,0.9724770985604769,-0.1747291089546216,1.0,1.106013739588544,-0.1060137395885441,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,False,True,blocked_noisy
