step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,1,UncertaintyOnly,0,0.023643249400513433,0.5524721810621195,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,1,UncertaintyOnly,0,-0.7116807745607325,-0.9347379656118462,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
2,1,UncertaintyOnly,0,-0.3763370959790291,-0.23584329997425107,1.0,1.0,0.0,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
3,1,UncertaintyOnly,0,0.6554051876408835,1.7467354437384555,1.0,1.0,0.0,3,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,1,UncertaintyOnly,0,0.09918737534611899,0.7053459482334795,1.0,1.0,0.0,4,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
5,1,UncertaintyOnly,0,0.09918737534611899,0.6992185399788268,1.0,1.0,0.0,5,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
6,1,UncertaintyOnly,0,0.07628662643855644,0.6114630454802606,1.0,1.0,0.0,6,1.0,1.0,0.1,9.386282979796647e-06,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
7,1,UncertaintyOnly,0,0.5768574068568086,1.7189827514379332,1.0,1.0,0.0,7,1.0,1.0,0.1,9.386282979796647e-06,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
8,1,UncertaintyOnly,0,-0.09300422103869699,0.2723691609759684,1.0,1.0,0.0,8,1.0,1.0,0.1,9.386282979796647e-06,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
9,1,UncertaintyOnly,0,-0.19377402710574154,0.0801263308830871,1.0,1.0524371974015891,-0.05243719740158914,9,1.0,1.0,0.1,9.386282979796647e-06,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
10,1,UncertaintyOnly,1,0.9614743996024773,0.8453120775499856,0.16494464731723454,0.2138387313466955,-0.048894084029460966,10,1.0524371974015891,0.026519663631916046,0.1,9.386282979796647e-06,learning,0,0.16494464731723454,0.039580777287483215,0.1,0.0,unexplored,0,0.5813074240063926,0.010078641586005688,0.1,0.0,unexplored,0,1.3273260101826647,0.0359569750726223,0.1,0.0,unexplored,0,0.07927252449090146,0.02790793590247631,0.1,0.0,unexplored,True,False,mastered
11,1,UncertaintyOnly,0,0.03213717109575742,0.5728848410194414,0.6174563039144126,0.14931307595819643,0.4681432279562162,10,0.6174563039144126,0.06850216537714005,0.4349808934871765,9.386282979796647e-06,learning,1,0.2138387313466955,0.06840679794549942,-0.048894084029460966,0.0,learning,0,0.6737186230686986,0.03460921347141266,-0.092411199062306,0.0,unexplored,0,1.863305141152057,0.056743450462818146,-0.5359791309693922,0.0,unexplored,0,0.1465891539747487,0.03559058532118797,-0.06731662948384724,0.0,unexplored,True,False,mastered
12,1,UncertaintyOnly,0,0.03213717109575742,0.5672167269842846,0.14931307595819643,0.0413814691826936,0.10793160677550283,11,0.14931307595819643,0.14875075221061707,0.9031241214433927,9.386282979796647e-06,learning,1,0.46520190838000175,0.10816777497529984,-0.3002572610627672,0.0,learning,0,0.5978205512306504,0.10826697945594788,-0.016513127224257795,0.0,unexplored,0,1.6447258794023094,0.07496996223926544,-0.3173998692196447,0.0,unexplored,0,0.3566452039153105,0.05537472665309906,-0.2773726794244091,0.0,unexplored,True,False,mastered
13,1,UncertaintyOnly,0,-0.4798051045255536,-0.5072147481184419,0.0413814691826936,0.050424662321211115,-0.009043193138517515,12,0.0413814691826936,0.16438376903533936,1.0110557282188954,8.709081079340965e-06,learning,1,0.619917745065556,0.09520187228918076,-0.4549730977483214,0.0,learning,0,0.6568048348241363,0.10049733519554138,-0.07549741081774375,0.0,unexplored,0,1.187476473420141,0.134310781955719,0.13984953676252365,0.0,unexplored,0,0.527143110896827,0.08887863159179688,-0.44787058640592553,0.0,unexplored,True,False,mastered
14,1,UncertaintyOnly,2,0.639253438238554,-0.2642979423202136,0.6322451406494185,0.6168462514090952,0.015398889240323288,13,0.050424662321211115,0.03037187270820141,1.0020125350803781,8.709081079340965e-06,learning,1,0.5870289793621731,0.029182232916355133,-0.42208433204493856,0.0,learning,0,0.6322451406494185,0.04531069099903107,-0.05093771664302593,0.0,unexplored,0,1.3547498479598712,0.03920788690447807,-0.027423837777206472,0.0,unexplored,0,0.4861914454014349,0.017207536846399307,-0.40691892091053344,0.0,unexplored,False,False,learning
15,1,UncertaintyOnly,2,0.639253438238554,-0.24457741368843058,0.6168462514090952,0.5036016200023375,0.11324463140675767,13,0.06536784874397843,0.00421102624386549,0.5520884551704343,8.709081079340965e-06,learning,1,0.559856184956465,0.01657937839627266,-0.34601745360976954,0.0,learning,1,0.6168462514090952,0.021562213078141212,0.05687237165960335,0.0,learning,0,1.5707467713817693,0.017268233001232147,0.2925583697702876,0.0,unexplored,0,0.4472467212966954,0.007877612486481667,-0.3006575673219467,0.0,unexplored,False,False,learning
