step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,9,LearningProgress,4,-0.42636558182488926,0.398803344489168,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,9,LearningProgress,3,0.5550681658403576,-0.8443098851723372,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
2,9,LearningProgress,3,0.7207872983657693,0.9504375806636884,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
3,9,LearningProgress,4,-0.42636558182488926,0.41600885373994223,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,9,LearningProgress,2,-0.03011134604542387,-0.27980832017491264,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,False,False,learning
5,9,LearningProgress,0,-0.9887478986412142,-1.4725802621677282,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
6,9,LearningProgress,4,0.5692197053453592,0.5627900857778813,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
7,9,LearningProgress,1,0.41066740917890754,0.2386651086122571,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
8,9,LearningProgress,1,-0.44050556050342604,0.5848902504779062,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,True,False,mastered
9,9,LearningProgress,3,0.9724770985604769,-0.1747291089546216,1.0,1.0955916753928714,-0.09559167539287139,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.40073871446195e-05,unexplored,False,True,blocked_noisy
10,9,LearningProgress,0,0.21187788701852583,0.8990671856540834,2.02853388852744,2.4379887230713764,-0.4094548345439364,1,2.02853388852744,0.017156057059764862,0.1,0.0,learning,2,0.2780061901567987,0.007651293184608221,0.1,0.0,learning,1,0.46578715961790995,0.001289991894736886,0.1,0.0,learning,3,1.0955916753928714,0.021228455007076263,0.1,0.0,learning,3,0.3144741218081972,0.0022165521513670683,0.1,7.40073871446195e-05,learning,True,False,mastered
11,9,LearningProgress,4,-0.5478033452736573,0.5676299429879998,0.18693771677939616,0.10624551858522283,0.08069219819417334,2,2.4379887230713764,0.05370715633034706,-0.4094548345439364,0.0,learning,2,0.16136780014484928,0.1186579167842865,0.11663839001194945,0.0,learning,1,0.478884080330949,0.009475965052843094,-0.013096920713039029,0.0,learning,3,1.0294329545393786,0.028571225702762604,0.06615872085349284,0.0,learning,3,0.18693771677939616,0.07203613966703415,0.12753640502880106,7.40073871446195e-05,learning,True,False,mastered
12,9,LearningProgress,4,-0.6213359611435381,0.6419893468859302,0.10624551858522283,0.10297806055381596,0.003267458031406864,2,2.3671885666569072,0.25438597798347473,-0.33865467812946726,0.0,learning,2,0.14622560598901516,0.024021781980991364,0.13178058416778357,0.0,learning,1,0.4690262689722306,0.06576159596443176,-0.003239109354320646,0.0,learning,3,0.9761032848315545,0.15471793711185455,0.11948839056131688,0.0,learning,4,0.10624551858522283,0.0122678866609931,0.2082286032229744,7.40073871446195e-05,learning,True,False,mastered
13,9,LearningProgress,4,-0.5608466171004731,0.5471440041817746,0.10297806055381596,0.09618110458231355,0.006796955971502414,2,2.077633707272401,0.3059151768684387,-0.049099818744961166,0.0,learning,2,0.15722108623431183,0.02536541223526001,0.1207851039224869,0.0,learning,1,0.4600404195062234,0.0823305994272232,0.005746740111686577,0.0,learning,3,0.8470844217785067,0.06886650621891022,0.24850725361436465,0.0,learning,5,0.10297806055381596,0.014216973446309566,0.21149606125438125,7.40073871446195e-05,learning,True,False,mastered
14,9,LearningProgress,0,0.18505247135640857,0.8602316202018914,0.8615932426386818,0.9182288240720651,-0.05663558143338332,2,0.8615932426386818,0.07875855267047882,1.1669406458887583,0.0,learning,2,0.10668985518338907,0.005189086310565472,0.17131633497340965,0.0,learning,1,0.4719824537706058,0.027028260752558708,-0.006195294152695874,0.0,learning,3,1.7471857963974446,0.008420108817517757,-0.6515941210045733,0.0,learning,6,0.09618110458231355,0.00278684264048934,0.21829301722588368,7.40073871446195e-05,learning,True,False,mastered
15,9,LearningProgress,0,0.809175539418066,2.1285823094584426,0.9182288240720651,0.9691568216629038,-0.05092799759083877,3,0.9182288240720651,0.0181345883756876,1.5197598989993113,0.0,learning,2,0.11062425802930267,0.0030708150006830692,0.0507435421155466,0.0,learning,1,0.4695862254814312,0.013982748612761497,0.009297854849517784,0.0,learning,3,1.1093087601872305,0.0024164633359760046,-0.0798758056478519,0.0,learning,6,0.09284209878608461,0.010654879733920097,0.09409561799331155,7.40073871446195e-05,learning,True,False,mastered
16,9,LearningProgress,0,0.11308577930912822,0.7599564180904191,0.9691568216629038,0.7292211521225939,0.23993566954030998,4,0.9691568216629038,0.015917044132947922,1.3980317449940034,0.0,learning,2,0.17158360646650203,0.007678734138607979,-0.025358000477486875,0.0,learning,1,0.7486082319844249,0.045361317694187164,-0.27958196301219435,0.0,learning,3,0.9653397123526374,0.013173303566873074,0.010763572478917127,0.0,learning,6,0.14231475480295855,0.00676722452044487,-0.03606923621773572,7.40073871446195e-05,learning,True,False,mastered
17,9,LearningProgress,0,0.3861214173000529,1.2448989654988643,0.7292211521225939,0.2820219940623019,0.447199158060292,5,0.7292211521225939,0.016937019303441048,1.3484125551498072,0.0,learning,2,0.12549499022198835,0.011878825724124908,0.031726096012323485,0.0,learning,1,0.7797603774145516,0.03941721469163895,-0.31971995790832825,0.0,learning,3,1.0251284196955563,0.043274350464344025,-0.1780439979170496,0.0,learning,6,0.07452623935039084,0.004939551930874586,0.028451821203425126,7.40073871446195e-05,learning,True,False,mastered
18,9,LearningProgress,3,-0.7418309129962191,0.5067657946460785,1.0172915857419655,1.3215189662539912,-0.3042273805120257,6,0.2820219940623019,0.010739108547568321,0.5795712485763799,0.0,learning,2,0.10551256167849266,0.018193090334534645,0.0011772935048964123,0.0,learning,1,0.6898378444597014,0.014306999742984772,-0.2178553906890956,0.0,learning,3,1.0172915857419655,0.05483744293451309,0.7298942106554791,0.0,learning,6,0.12580589012049656,0.010617141611874104,-0.029624785538183013,7.40073871446195e-05,learning,False,True,blocked_noisy
19,9,LearningProgress,0,0.3861214173000529,1.290235777148869,0.2428840232967467,0.10635476395028182,0.13652925934646487,6,0.2428840232967467,0.016908008605241776,0.6753448007753184,0.0,learning,2,0.3301217732545769,0.059067338705062866,-0.21949751522527425,0.0,learning,1,0.6129197582860093,0.01810268498957157,-0.1433335328045781,0.0,learning,4,1.3215189662539912,0.03792986646294594,-0.21221020606676078,0.0,learning,6,0.4340379966626909,0.01576099544763565,-0.34119589787660626,7.40073871446195e-05,learning,True,False,mastered
20,9,LearningProgress,0,0.0008026543569148448,0.5122717833981422,0.10635476395028182,0.1085820373921898,-0.0022272734419079843,7,0.10635476395028182,0.018573671579360962,0.8628020577126221,0.0005138566226470029,learning,2,0.19061845858988716,0.033330898731946945,-0.019034852123385126,0.0,learning,1,0.6186379944393794,0.006950337905436754,0.12997023754504555,0.0,learning,4,1.063368446515334,0.025197409093379974,-0.09802873416269653,0.0,learning,6,0.2203633611160566,0.023824378848075867,-0.07804860631309804,7.40073871446195e-05,learning,True,False,mastered
