step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,4,MasteryGated,4,0.022655105628723193,0.20196240304402435,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,4,MasteryGated,4,0.022655105628723193,0.21673736891421513,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
2,4,MasteryGated,3,-0.24702683124545488,-0.0519305338291415,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,True,blocked_noisy
3,4,MasteryGated,4,0.7432705483753128,0.536123563461796,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
4,4,MasteryGated,2,0.8044301594319767,0.9332093324689879,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,False,learning
5,4,MasteryGated,2,0.5778934350886589,-0.741206498406365,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,False,learning
6,4,MasteryGated,4,0.9378657386324698,0.6727930113323922,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
7,4,MasteryGated,4,0.21770323368909517,0.30092738087156273,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,4,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
8,4,MasteryGated,3,0.33131483393150685,1.062408091378854,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,5.457490411632561e-05,unexplored,False,True,blocked_noisy
9,4,MasteryGated,0,-0.004264802429251091,0.48070679119738835,1.0,1.0688057830146116,-0.0688057830146116,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,5.457490411632561e-05,unexplored,True,False,mastered
10,4,MasteryGated,1,0.28234184793005634,0.18009944279403373,0.11940365181487014,0.24131660565935817,-0.12191295384448803,1,1.0688057830146116,0.005353246349841356,0.1,0.0,learning,0,0.11940365181487014,0.002890343312174082,0.1,0.0,unexplored,2,0.7712010843923072,0.007155912928283215,0.1,0.0,learning,2,1.353400631394863,0.005827414803206921,0.1,0.0,learning,5,0.07508186704982153,0.0034005888737738132,0.1,5.457490411632561e-05,learning,True,False,mastered
11,4,MasteryGated,3,-0.5660399471560098,-2.985367140406743,1.1164842218514588,1.0137734016880784,0.1027108201633804,1,1.172475384610472,0.0027689195703715086,-0.10366960159586047,0.0,learning,1,0.24131660565935817,0.00219586119055748,-0.12191295384448803,0.0,learning,2,0.5457933356271357,0.0019705798476934433,0.22540774876517145,0.0,learning,2,1.1164842218514588,0.003109733574092388,0.2369164095434042,0.0,learning,5,0.09794359797281249,0.0037797847762703896,-0.022861730922990958,5.457490411632561e-05,learning,False,True,blocked_noisy
12,4,MasteryGated,1,0.9250148226527568,0.7531050922184045,0.35794205324404693,0.4917228121577733,-0.13378075891372637,1,1.2535623969059768,0.0041834162548184395,-0.18475661389136522,0.0,learning,1,0.35794205324404693,0.0003430190263316035,-0.2385384014291768,0.0,learning,2,0.5362960026010853,0.0005455043283291161,0.23490508179122183,0.0,learning,3,1.0137734016880784,0.0034526425879448652,0.3396272297067846,0.0,learning,5,0.17820038716541972,0.0019340545404702425,-0.10311852011559819,5.457490411632561e-05,learning,True,False,mastered
13,4,MasteryGated,3,-0.4481234848696529,2.1339764808878794,0.8854775996045445,1.3454103613932142,-0.4599327617886697,1,1.1382465495571412,0.0113254114985466,-0.06944076654252962,0.0,learning,2,0.4917228121577733,0.002051395131275058,-0.37231916034290313,0.0,learning,2,0.5622730984402491,0.0036452787462621927,0.20892798595205808,0.0,learning,3,0.8854775996045445,0.012403812259435654,0.46792303179031847,0.0,learning,5,0.23764766485137884,0.005152700003236532,-0.1625657978015573,5.457490411632561e-05,learning,False,True,blocked_noisy
14,4,MasteryGated,4,-0.2099789794797302,0.16868295665911998,0.19831313376065224,0.1743960267340226,0.023917107026629636,1,0.8471076659418365,0.022851135581731796,0.2216981170727751,0.0,learning,2,0.5301057818941044,0.006156522780656815,-0.4107021300792343,0.0,learning,2,0.5621612430640327,0.008713730610907078,0.20903984132827447,0.0,learning,4,1.3454103613932142,0.03134307265281677,0.007990270001648758,0.0,learning,5,0.19831313376065224,0.0074195777997374535,-0.1232312667108307,5.457490411632561e-05,learning,True,False,mastered
15,4,MasteryGated,4,-0.8425596989786903,0.8073333887896338,0.1743960267340226,0.11894302351702436,0.05545300321699824,1,0.7721859570646172,0.04401952400803566,0.40028942754585484,0.0,learning,2,0.3506666521319074,0.01061910018324852,-0.10935004647254923,0.0,learning,2,0.5585529350721427,0.012155498377978802,-0.01275959944500693,0.0,learning,4,1.7130534859762134,0.08729816228151321,-0.5965692641247546,0.0,learning,6,0.1743960267340226,0.006528967060148716,-0.07645242876121011,5.457490411632561e-05,learning,True,False,mastered
16,4,MasteryGated,2,0.40929572888003096,-0.6218256868646946,0.5278795467659919,0.5288628588892658,-0.0009833121232738495,1,0.8514569259063464,0.01723499409854412,0.40210547099963045,0.0,learning,2,0.3027218144603882,0.006144551560282707,0.055220238783658726,0.0,learning,2,0.5278795467659919,0.0020721808541566133,0.008416455835093428,0.0,learning,4,1.326336076298253,0.033158764243125916,-0.3125626746101746,0.0,learning,7,0.11894302351702436,0.003159258048981428,0.05925736364839536,5.457490411632561e-05,learning,False,False,learning
17,4,MasteryGated,2,0.2342295141824442,0.8377476451110769,0.5288628588892658,0.5205287348487504,0.008334124040515367,1,1.0248638002356458,0.0050755394622683525,0.11338274932149539,0.0,learning,2,0.31534531142196176,0.008308682590723038,0.17637750073581154,0.0,learning,3,0.5288628588892658,0.004209061153233051,0.03341023955098332,0.0,learning,4,1.163943068682174,0.014186468906700611,-0.27846546907762937,0.0,learning,7,0.15309345984563616,0.0037710496690124273,0.08455420500574268,5.457490411632561e-05,learning,False,False,learning
