step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,7,MasteryGated,3,0.794427601939151,0.7469620524819425,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
1,7,MasteryGated,3,-0.39966743017754913,0.8203782095377569,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
2,7,MasteryGated,4,-0.9894693908688506,0.9606299245143407,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
3,7,MasteryGated,4,-0.06413009431255845,0.0224170210186687,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,7,MasteryGated,1,-0.44314877579845335,0.518681570636971,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
5,7,MasteryGated,1,0.009096517915906599,0.23908750759971426,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
6,7,MasteryGated,2,0.9910005668687853,0.00012891620285222782,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,False,False,learning
7,7,MasteryGated,3,0.9779202953637698,0.5266267690158747,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
8,7,MasteryGated,1,0.22507920854606156,0.15086423073244545,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
9,7,MasteryGated,0,-0.9286394424528077,-1.3260678705093771,1.0,1.5487705738777813,-0.5487705738777813,0,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
