step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,1,LearningProgress,2,0.9009273926518706,0.8090343202292413,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
1,1,LearningProgress,0,0.8972988942744877,2.2832213720585943,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
2,1,LearningProgress,1,-0.1533471020548487,0.2863503563088819,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
3,1,LearningProgress,4,-0.18160172726167745,0.11752679571836579,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,1,LearningProgress,2,0.9009273926518706,0.8108198355093902,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,False,learning
5,1,LearningProgress,3,0.07628662643855644,0.028126309552960353,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.970162039113185e-07,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
6,1,LearningProgress,1,-0.39361034141671003,0.43190199589833983,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.970162039113185e-07,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
7,1,LearningProgress,2,-0.19377402710574154,-0.9022739530752354,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,7.970162039113185e-07,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,False,False,learning
8,1,LearningProgress,1,0.5007293452601052,0.2588886766799444,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.970162039113185e-07,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
9,1,LearningProgress,1,0.9614743996024773,0.8036650863047712,1.0,0.15446697107121857,0.8455330289287815,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,7.970162039113185e-07,unexplored,1,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
