step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,8,LearningProgress,1,0.9745536866758511,0.8725938756850316,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
1,8,LearningProgress,1,0.7397930233924321,0.49436135384081875,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
2,8,LearningProgress,1,-0.2545021938212939,0.37849194811802134,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
3,8,LearningProgress,0,-0.04206909167456607,0.3987842061437045,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
4,8,LearningProgress,1,-0.6305368863311702,0.80414204369022,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,3,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
5,8,LearningProgress,0,-0.15403162371154733,0.17502873437567668,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,4,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
6,8,LearningProgress,1,0.20854459211691156,0.16169453744063855,1.0,1.0,0.0,2,1.0,1.0,0.1,0.0,unexplored,4,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
7,8,LearningProgress,3,0.8227127608970481,0.3652935699904183,1.0,1.0,0.0,2,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,True,blocked_noisy
8,8,LearningProgress,0,-0.43075872497837486,-0.409266694958183,1.0,1.0,0.0,2,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
9,8,LearningProgress,0,-0.21066283740279435,0.04661402249315653,1.0,1.0635983676536827,-0.06359836765368265,3,1.0,1.0,0.1,0.0,unexplored,5,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,True,False,mastered
