Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
LearningProgress,50,Mixed,5191,1,piecewise_linear,True,False,0.015570697242752203,8,learning
LearningProgress,50,Mixed,5191,2,piecewise_linear,True,False,0.036949634065309545,6,learning
LearningProgress,50,Mixed,5191,3,noisy_unlearnable,True,True,0.7254516668611286,5,learning
LearningProgress,50,Mixed,5191,4,piecewise_linear,True,False,0.0633222176710546,20,learning
LearningProgress,50,Mixed,5191,5,linear,True,False,0.04576743221588787,5,learning
LearningProgress,50,Mixed,5191,6,cubic,True,False,0.1924376810864025,1,learning
LearningProgress,50,Mixed,5191,7,noisy_unlearnable,True,True,9.447148717148988,3,learning
LearningProgress,50,Mixed,5734,0,sine,True,False,3.388247902725648,2,learning
LearningProgress,50,Mixed,5734,1,sine,True,False,0.16901899070030205,4,learning
LearningProgress,50,Mixed,5734,2,noisy_unlearnable,True,True,3.926902631654487,7,learning
LearningProgress,50,Mixed,5734,3,piecewise_linear,True,False,0.3423223252042331,14,learning
LearningProgress,50,Mixed,5734,4,noisy_unlearnable,True,True,2.307596376698552,7,learning
LearningProgress,50,Mixed,5734,5,noisy_unlearnable,True,True,0.6690818049772702,4,learning
LearningProgress,50,Mixed,5734,6,quadratic,True,False,0.5231588007921021,3,learning
LearningProgress,50,Mixed,5734,7,cubic,True,False,0.062324856605429274,5,learning
LearningProgress,50,Mixed,5734,8,sine,True,False,0.37145583827036466,4,learning
MasteryGatedHypothesis,50,Mixed,7270,0,linear,True,False,0.04386056367186195,7,learning
MasteryGatedHypothesis,50,Mixed,7270,1,cubic,True,False,0.13911135199243282,3,learning
MasteryGatedHypothesis,50,Mixed,7270,2,piecewise_linear,True,False,0.018346569447859413,5,learning
MasteryGatedHypothesis,50,Mixed,7270,3,sine,True,False,0.4868286334084301,3,learning
MasteryGatedHypothesis,50,Mixed,7270,4,piecewise_linear,True,False,0.03739593082767326,4,learning
MasteryGatedHypothesis,50,Mixed,7270,5,sine,True,False,3.086123951128323,1,learning
MasteryGatedHypothesis,50,Mixed,7270,6,cubic,True,False,0.14399022255831226,5,learning
MasteryGatedHypothesis,50,Mixed,7270,7,quadratic,True,False,0.010850442062133045,17,learning
MasteryGatedHypothesis,50,Mixed,7270,8,quadratic,True,False,0.7304659428465403,5,learning
MasteryGatedHypothesis,50,Mixed,860,0,piecewise_linear,True,False,0.1480354294477732,6,learning
MasteryGatedHypothesis,50,Mixed,860,1,piecewise_linear,True,False,0.015645843660607776,3,learning
MasteryGatedHypothesis,50,Mixed,860,2,sine,True,False,1.5635813495319155,5,learning
MasteryGatedHypothesis,50,Mixed,860,3,noisy_unlearnable,True,True,0.38006563031486523,4,learning
MasteryGatedHypothesis,50,Mixed,860,4,piecewise_linear,True,False,0.10507736764743951,5,learning
MasteryGatedHypothesis,50,Mixed,860,5,cubic,True,False,0.16926907750828118,2,learning
MasteryGatedHypothesis,50,Mixed,860,6,piecewise_linear,True,False,0.1373128704245487,8,learning
MasteryGatedHypothesis,50,Mixed,860,7,piecewise_linear,True,False,0.0688353229073861,5,learning
MasteryGatedHypothesis,50,Mixed,860,8,sine,True,False,0.5604057167764379,6,learning
MasteryGatedHypothesis,50,Mixed,860,9,noisy_unlearnable,True,True,0.9212156207056169,6,learning
MasteryGatedHypothesis,50,Mixed,5390,0,noisy_unlearnable,True,True,1.3397570145739814,11,learning
MasteryGatedHypothesis,50,Mixed,5390,1,noisy_unlearnable,True,True,1.8105667779169254,13,learning
MasteryGatedHypothesis,50,Mixed,5390,2,cubic,True,False,0.24684335200169424,13,learning
MasteryGatedHypothesis,50,Mixed,5390,3,quadratic,True,False,0.056647909857686016,13,learning
