EnvType,Agent,NumActive,Seed,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked
OOD_Hard,PPO_SetPolicy,9,5734,0.005147243563445311,0,0,9,0,0
OOD_Hard,PPO_SetPolicy,9,6265,0.009278003439341119,0,0,9,0,0
OOD_Hard,PPO_SetPolicy,7,466,0.0023956931348195236,0,0,7,0,0
OOD_Hard,PPO_SetPolicy,3,4426,0.0012050815072699925,0,0,3,0,0
OOD_Hard,PPO_SetPolicy,10,5578,0.008602148287857273,0,0,10,0,0
OOD_Hard,PPO_SetPolicy,8,8322,0.014222572256473566,0,0,8,0,0
OOD_Hard,PPO_SetPolicy_RandomX,9,7270,0.004871100063786832,0,0,9,0,0
OOD_Hard,PPO_SetPolicy_RandomX,10,860,0.011975763081435995,0,0,10,0,0
OOD_Hard,PPO_SetPolicy_RandomX,4,5390,0.002987478957222948,0,0,4,0,0
OOD_Hard,PPO_SetPolicy_RandomX,8,5191,0.003756256030132188,0,0,8,0,0
OOD_Hard,PPO_SetPolicy_RandomX,9,5734,0.0037785548430731056,0,0,9,0,0
OOD_Hard,PPO_SetPolicy_RandomX,9,6265,0.00786229886002397,0,0,9,0,0
OOD_Hard,PPO_SetPolicy_RandomX,7,466,0.008649661328907918,0,0,7,0,0
OOD_Hard,PPO_SetPolicy_RandomX,3,4426,0.0005685759210884802,0,0,3,0,0
OOD_Hard,PPO_SetPolicy_RandomX,10,5578,0.022324611118878058,0,0,10,0,0
OOD_Hard,PPO_SetPolicy_RandomX,8,8322,0.004169224261567211,0,0,8,0,0
