Env,Agent,Seed,ActiveRegions,ValError,SamplesWastedInactive,SamplesWastedNoisy,MasteredLearnable,FalseMastery,FalseBlocked
OOD_Hard,MasteryGatedHypothesis,9,6,0.008621315120581381,0,116,4,0,0
OOD_Hard,Random,0,9,0.13579743666788505,0,116,6,0,0
OOD_Hard,Random,1,6,0.046528929420867185,0,326,3,0,0
OOD_Hard,Random,2,9,0.5513186807490394,0,214,4,0,0
OOD_Hard,Random,3,9,0.058705015224747664,0,119,7,0,0
OOD_Hard,Random,4,8,0.21037475021478788,0,134,6,0,0
OOD_Hard,Random,5,8,0.01474265712965799,0,370,5,0,0
OOD_Hard,Random,6,6,0.3881566027954031,0,167,3,0,0
OOD_Hard,Random,7,10,0.3291062511840623,0,308,5,0,0
OOD_Hard,Random,8,8,0.3106623446710211,0,250,3,0,0
OOD_Hard,Random,9,6,0.012627896253517814,0,346,4,0,0
OOD_Hard,HighestError,0,9,0.46361420880426707,0,799,0,0,0
OOD_Hard,HighestError,1,6,0.28891607894508353,0,990,0,0,0
OOD_Hard,HighestError,2,9,0.7955129022898714,0,622,0,0,0
OOD_Hard,HighestError,3,9,0.22186239799845447,0,930,0,0,0
OOD_Hard,HighestError,4,8,0.09234451229219995,0,614,1,0,0
OOD_Hard,HighestError,5,8,0.36373390177281084,0,971,0,0,0
OOD_Hard,HighestError,6,6,0.8175644186300486,0,874,0,0,0
OOD_Hard,HighestError,7,10,0.5563757693883868,0,846,0,0,0
OOD_Hard,HighestError,8,8,0.8159358425230324,0,5,0,0,0
OOD_Hard,HighestError,9,6,0.160427978554048,0,995,0,0,0
OOD_Hard,LearningProgress,0,9,0.14969046712038933,0,254,6,0,0
OOD_Hard,LearningProgress,1,6,0.04899564320812865,0,585,3,0,0
OOD_Hard,LearningProgress,2,9,0.5651490869314068,0,369,4,0,0
OOD_Hard,LearningProgress,3,9,0.044475092443598166,0,300,7,0,0
OOD_Hard,LearningProgress,4,8,0.16124739273628383,0,222,6,0,0
OOD_Hard,LearningProgress,5,8,0.03795113666745641,0,613,5,0,0
OOD_Hard,LearningProgress,6,6,0.44337700897071813,0,336,3,0,0
OOD_Hard,LearningProgress,7,10,0.3419257461790197,0,554,3,0,0
OOD_Hard,LearningProgress,8,8,0.2932407219258381,0,412,3,0,0
OOD_Hard,LearningProgress,9,6,0.02471448499798978,0,570,4,0,0
OOD_Hard,PPO_FlatMLP,0,9,0.9234698930351792,0,965,0,1,0
OOD_Hard,PPO_FlatMLP,1,6,1.4792459960079534,0,9,1,0,0
OOD_Hard,PPO_FlatMLP,2,9,1.0772402526517797,0,907,1,1,0
OOD_Hard,PPO_FlatMLP,3,9,0.27931342617455557,0,0,1,0,0
OOD_Hard,PPO_FlatMLP,4,8,0.9999791961956032,0,21,2,0,0
